Time,X_L,Y_L,Z_L,VX_L,VY_L,VZ_L,FX_L,FY_L,FZ_L,X_R,Y_R,Z_R,VX_R,VY_R,VZ_R,FX_R,FY_R,FZ_R,Frequency
2026-02-19 16:10:53.867,-0.11887368559837341,-0.47765329480171204,-0.24858154356479645,0.0011459781089797616,-3.3007738693413557E-06,-8.776664617471397E-05,0,0,0,-0.0856633335351944,-0.3030642569065094,-0.43342459201812744,0.4076141119003296,-0.6552755832672119,0.3257879912853241,0,0,0,6
2026-02-19 16:10:53.947,-0.11885885894298553,-0.47769004106521606,-0.2485203593969345,0.000316684105200693,-0.0003854641108773649,0.0006008203490637243,0,0,0,-0.04614434763789177,-0.35816919803619385,-0.3986015021800995,0.4122103750705719,-0.544208288192749,0.38832923769950867,0,0,0,6
2026-02-19 16:10:54.026,-0.1188143715262413,-0.4776909649372101,-0.2485155463218689,0.0005172502133063972,-0.0003804293810389936,0.0004749069921672344,0,0,0,-0.0204462893307209,-0.38869500160217285,-0.3731814920902252,0.40551331639289856,-0.4701049327850342,0.4077792465686798,0,0,0,6
2026-02-19 16:10:54.106,-0.11885295808315277,-0.47767913341522217,-0.2485344558954239,-0.00027677640900947154,0.0005980218993499875,-0.0008170935907401145,0,0,0,0.015654142946004868,-0.4264882802963257,-0.33284351229667664,0.36101454496383667,-0.35442352294921875,0.42686927318573,0,0,0,7
2026-02-19 16:10:54.192,-0.11886850744485855,-0.47769030928611755,-0.24852874875068665,0.0004309008363634348,-0.0003488569345790893,0.00029198196716606617,0,0,0,0.03730129450559616,-0.44576314091682434,-0.30546659231185913,0.3334892988204956,-0.28949880599975586,0.43329712748527527,0,0,0,7
2026-02-19 16:10:54.271,-0.11889322847127914,-0.4776856601238251,-0.24853405356407166,-0.00019890065595973283,0.00010596519859973341,-0.00011015577911166474,0,0,0,0.06244216114282608,-0.4662030339241028,-0.27116134762763977,0.2633306086063385,-0.2131301909685135,0.36349350214004517,0,0,0,7
2026-02-19 16:10:54.352,-0.11890970170497894,-0.4776704013347626,-0.24855753779411316,-0.0002231725084129721,-9.821721505431924E-06,-1.1274848475295585E-05,0,0,0,0.08310702443122864,-0.4848048686981201,-0.2452172040939331,0.20259776711463928,-0.19134080410003662,0.2318423092365265,0,0,0,7
2026-02-19 16:10:54.431,-0.1188930794596672,-0.47769078612327576,-0.24853111803531647,-0.00023382905055768788,-0.0002598221180960536,0.00035737233702093363,0,0,0,0.0950404554605484,-0.4961782991886139,-0.23289965093135834,0.18563240766525269,-0.17124611139297485,0.18053165078163147,0,0,0,7
2026-02-19 16:10:54.510,-0.11889088898897171,-0.4777015149593353,-0.24850329756736755,0.0007636154186911881,7.166016530391062E-06,0.00019524202798493207,0,0,0,0.11354057490825653,-0.5089918971061707,-0.21908314526081085,0.2149132341146469,-0.12271557003259659,0.1369943767786026,0,0,0,7
2026-02-19 16:10:54.589,-0.11885477602481842,-0.4777081608772278,-0.24850060045719147,0.0006709866574965417,-0.0006979366298764944,0.000766491808462888,0,0,0,0.13059356808662415,-0.5164435505867004,-0.21023878455162048,0.28446874022483826,-0.11432795226573944,0.14094196259975433,0,0,0,7
